Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor,Subsector
TheCollegeFever,Brand Marketing,Seed,3250.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,,,," Event Promotion, Marketing, Sponsorship, Ticketing"
Happy Cow Dairy,AgriTech,Seed,520000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,,,, Farming
MyLoanCare,Credit,Series A,845000.0,Gurugram,Leading Online Loans Marketplace in India,2018,,,," Financial Services, Lending, Marketplace"
PayMe India,FinTech,Angel,26000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,,,, FinTech
Eunimart,E-Commerce Platforms,Seed,Undisclosed,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,,,," Retail, SaaS"
Hasura,Cloud Infrastructure,Seed,20800.0,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,,,," PaaS, SaaS"
Tripshelf,Tech,Seed,208000.0,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,2018,,,," Leisure, Marketplace"
Hyperdata.IO,Market Research,Angel,650000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,,,,
Freightwalla,InfoTech & Services,Seed,Undisclosed,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,,,, Information Technology
Microchip Payments,Mobile Payments,Seed,Undisclosed,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018,,,,
BizCrum Infotech Pvt. Ltd.,B2B,Seed,Undisclosed,Delhi,Building Transactionary B2B Marketplaces,2018,,,, Shoes
Emojifi,Tech,Seed,Undisclosed,Bangalore,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,,,,
Flock,Tech,Seed,Undisclosed,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,,,," Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat"
Freshboxx,Food Delivery,Seed,Undisclosed,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,,,,
Wide Mobility Mechatronics,AI,Seed,Undisclosed,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,,,,
Pitstop,Automotive,Seed,1300000.0,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,,,," Search Engine, Service Industry"
Mihuru,FinTech,Seed,1950.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,,,," Internet, Travel"
Fyle,Accounting,Seed,14300.0,Bangalore,Fyle is an intelligent expense management platform for enterprises.,2018,,,," Business Information Systems, Business Travel, Finance, SaaS"
AppWharf,AI,Seed,Undisclosed,Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,,,," Product Search, SaaS, Service Industry, Software"
Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,6500.0,Chennai,Waste Management for Smart Cities,2018,,,, Waste Management
Cogoport,Air Transportation,Series A,78000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,,,," Freight Service, Logistics, Marine Transportation"
PaisaDukan,FinTech,Seed,8450.0,Mumbai,A P2P lending marketplace platform,2018,,,,
Sleepy Owl Coffee,Food and Beverages,Seed,455000.0,Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,,,,
BlueJack,Autonomous Vehicles,Seed,832000.0,Delhi,Delhi-based online used vehicles marketplace.,2018,,,,
PregBuddy,Enterprise Software,Seed,Undisclosed,Bangalore,PregBuddy is a smart connected care platform for expecting mothers.,2018,,,," Health Care, Hospital, Parenting, Personal Health, SaaS"
AgNext Technologies,AgriTech,Series A,Undisclosed,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,,,," Analytics, Big Data, Farming"
Pando,Logistics,Seed,26000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,,,, Supply Chain Management
Mintifi,FinTech,Seed,26000.0,Mumbai,Online lending startup based in Mumbai.,2018,,,, Lending
Carcrew,Automotive,Seed,26000.0,Mumbai,India's Online Auto Repair Marketplace,2018,,,," Marketplace, Online Portals"
NicheAI,AI,Angel,Undisclosed,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,,,,
Chariot Tech,Internet of Things,Seed,260000.0,Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,,,, Telecommunications
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,13000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,,,,
Loanzen,FinTech,Seed,Undisclosed,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,,,,
Mojro Technologies,InfoTech & Services,Seed,8450.0,Bangalore,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,,,," Logistics, Supply Chain Management"
Elemential,Blockchain,Seed,13000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,,,," Developer Tools, Enterprise Software"
Loadshare,AI,Series A,65000.0,Bangalore,LoadShare is India’s fastest growing logistics company,2018,,,," Logistics, Supply Chain Management"
Yumlane,Food and Beverages,Series A,52000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,,,," Food Delivery, Snack Food"
Kriger Campus,EdTech,Seed,390000.0,Delhi,A Education Start Up.,2018,,,,
Pipa+Bella,E-Commerce,Series A,13000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,,,," Fashion, Jewelry, Retail"
Kaleidofin,FinTech,Seed,36400.0,Chennai,A fintech platform.,2018,,,,
Chakr Innovation,Renewable Energy,Seed,Undisclosed,Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,,,,
IndigoLearn,E-Learning,Seed,1950.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,,,, Education
UClean,Clean Energy,Seed,520000.0,"India, Asia",UClean is a tech enabled laundry service provider.,2018,,,," CleanTech, Laundry and Dry-cleaning"
Coutloot,E-Commerce,Seed,13000.0,Mumbai,The Fashion Re-commerce platform.,2018,,,," Fashion, Mobile"
Letstrack,Tech,Seed,22100.0,Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,,,," Messaging, Navigation, Public Safety"
Pooltoo,Transportation,Seed,Undisclosed,Delhi,Pooltoo offers a premium ride sharing platform.,2018,,,,
Finzy,FinTech,Seed,16900.0,Bangalore,finzy is the premier peer to peer lending solution in India.,2018,,,, Lending
Fitternity,Fitness,Seed,26000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,,,," Health Care, Wellness"
Keito,AI,Seed,Undisclosed,Pune,Building an Intelligent Digital Assistant.,2018,,,," Machine Learning, SaaS, Virtual Assistant"
Tolet for Students,Hospitality,Seed,65000.0,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,,,,
Chai Kings,Food and Beverages,Seed,260000.0,Chennai,Chai Kings is a tea retail chain,2018,,,, Tea
Dainik Jagran,Media and Entertainment,Seed,520000.0,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.,2018,,,," News, Outdoors"
Playtoome,Broadcasting,Seed,260000.0,Bangalore,Playtoome is a live entertainment destination,2018,,,," Media and Entertainment, Music, Music Streaming, Video, Video Streaming"
ONGO Framework,B2B,Angel,13000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,,,," Information Services, Information Technology"
Notesgen,EdTech,Seed,162500.0,Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,,,," Education, Enterprise Software, Peer to Peer"
Arogya MedTech,HealthTech,Seed,195000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,,,, Medical
Propshop24,E-Commerce,Seed,6500.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,,,,
myUpchar,HealthTech,Series A,65000.0,Delhi,To bring health issues to people in their language.,2018,,,," Hospital, Wellness"
MissMalini Entertainment,Undisclosed,Seed,1352000.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,,,,
Rooter,Sports,Seed,585000.0,"India, Asia",Rooter is a mobile-based platform,2018,,,,
ZestMoney,Big Data,Series A,174200.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018,,,," Consumer Lending, FinTech"
alphaics Corporation,Cloud Computing,Seed,Undisclosed,Bangalore,Advancing AI compute,2018,,,," Computer, Semiconductor"
MyDentistChoice,HealthTech,Seed,6500.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,,,," Medical, Pharmaceutical"
Sattviko,Food Processing,Angel,Undisclosed,Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,,,, Retail
Sensibull,Trading Platform,Seed,325000.0,Bangalore,Investment Management Platform,2018,,,,
Bombay Shaving Company,Consumer Goods,Series A,Undisclosed,Delhi,Bombay Shaving Company is a Men's grooming startup,2018,,,," Lifestyle, Men's"
MedCords,Wellness,Seed,343200.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,,,,
University Living,EdTech,Seed,Undisclosed,Delhi,University Living is an online global student housing marketplace.,2018,,,,
&ME,Food and Beverages,Seed,Undisclosed,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,,,," Food Processing, Nutrition"
Enakshi,Fashion,Seed,104000.0,Ahmedabad,Enakshi is an online apparel brand for women.,2018,,,,
Ultraviolette Automotive,Automotive,Series A,780.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,,,," Electric Vehicle, Energy Storage"
Inthree Access,Consulting,Series A,52000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,,,," Retail, Social"
BUGWORKS Research India,Biotechnology,Series A,117000.0,Bangalore,BUGWORKS is a drug discovery company.,2018,,,," Life Science, Pharmaceutical, Product Research"
Guardian.in,HealthTech,Seed,Undisclosed,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,,,,
PrestLoans,Credit,Seed,1300.0,Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,,,," Financial Services, FinTech, Personal Finance"
Wimoxez,Tech,Seed,260.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,,,,
India Accelerator,Communities,Angel,Undisclosed,Gurugram,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,,,," Coworking, Incubators"
HappyEMI,Consumer,Seed,13000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,,,," Financial Services, FinTech"
Wishup,Consumer Applications,Seed,Undisclosed,"Azadpur, Delhi, India",Premium Personal Assistance service,2018,,,," Information Services, Location Based Services, Virtual Assistant"
Hansel.io,Mobile,Series A,52000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,,,," Mobile Apps, Personalization, Test and Measurement, Web Apps"
Propelld,EdTech,Seed,3250.0,Bangalore,Propelld is a student education financing platform.,2018,,,," Financial Services, FinTech"
PivotRoots,Advertising,Series A,Undisclosed,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,,,," Consulting, Digital Marketing"
ZiffyHomes,Marketplace,Seed,1560.0,Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,,,," Real Estate, Rental Property"
Carmesi,HealthTech,Seed,442000.0,Gurugram,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,,,,
OckyPocky,E-Learning,Angel,Undisclosed,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,,,," Internet, Video Games"
Racetrack,AI,Seed,4446000.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,,,," Cloud Computing, Video"
WHR,HealthTech,Seed,143145,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,,,, Information Technology
Asteria Aerospace,Aerospace,Seed,Undisclosed,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018,,,,
FabAlley,E-Commerce,Series B,7800000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,,,," Fashion, Lifestyle"
Tranzmeo,AI,Pre-Seed,Undisclosed,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,,,," Business Intelligence, Industrial Automation, Machine Learning"
SBI Life,Insurance,Private Equity,742000000,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,,,,
Studds Accessories,E-Commerce,Private Equity,13000000.0,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,2018,,,,
Design Cafe,Home Decor,Series B,26000000.0,Bangalore,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,,,," Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home"
NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,3980000,Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,,,," Education, Information Services, SaaS"
Rays Power Infra,Energy,Venture - Series Unknown,26000000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,,,, Solar
AuthMetrik,B2B,Grant,10000,Gurugram,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,,,," Biometrics, Cyber Security, Fraud Detection, SaaS, Security"
Khidki,AI,Seed,Undisclosed,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018,,,, Social
LetsTransport,Logistics,Series B,13000000.0,Bangalore,Lets transport is a logistics solution provider.,2018,,,," Transportation, Travel"
Next Digital Solutions,Digital Marketing,Angel,1300.0,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,2018,,,," SEM, SEO, Web Development"
Portea Medical,HealthTech,Debt Financing,3250000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,,,," Hospital, Medical"
Aavas Financiers,FinTech,Post-IPO Debt,26000000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,,,, Financial Services
Swiggy,Food Delivery,Series H,1000000000,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,,,," Food Processing, Internet"
Milkbasket,E-Commerce,Series A,7000000,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,,,," Food and Beverage, Internet"
Nutrisattva (Proliva),Fitness,Angel,Undisclosed,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,2018,,,," Food and Beverage, Health Care, Nutrition"
Toppr,EdTech,Series C,35000000,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,,,," Education, Knowledge Management"
Jagaran Microfin,Undisclosed,Debt Financing,7150000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,,,,
Vivriti Capital,FinTech,Venture - Series Unknown,28500000,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,,,,
Be U Salons,Tech,Seed,390000.0,Delhi,Be U is India's first subscription based Salon Chain.,2018,,,," Beauty, Consumer, Retail"
Impact Guru,Creative Agency,Series A,2000000,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,,,," Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health"
MobiKwik,Consumer Lending,Series E,3120000.0,Gurugram,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,,,," Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management"
Stones2Milestones,E-Learning,Seed,Undisclosed,Gurugram,Stones2milestones is a Gurgaon Based Learning Company.,2018,,,," Education, Higher Education"
Generico,HealthTech,Series A,Undisclosed,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,,,," Medical, Pharmaceutical"
Adiuvo Diagnostics,Health Diagnostics,Seed,Undisclosed,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,,,,
DataTrained,EdTech,Seed,1560000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,,,, Education
OneAssist,FinTech,Debt Financing,2400000,Mumbai,OneAssist is a protection & assistance services platform.,2018,,,," SaaS, Security"
Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,30000000,Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,,,," Finance, Financial Services, Non Profit"
APAC Financial Services,FinTech,Private Equity,32500000.0,Mumbai,APAC Financial Services is a financial services platform.,2018,,,, Financial Services
Moglix,B2B,Series C,23000000,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,,,," E-Commerce, Mobile"
SEDEMAC Mechatronics,Automotive,Venture - Series Unknown,Undisclosed,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,,,," Electric Vehicle, Renewable Energy"
MadGuy Labs,E-Learning,Venture - Series Unknown,150000,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,,,,
Dee Dee Labs,Embedded Systems,Seed,Undisclosed,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,,,," Health Care, Medical, Product Research"
