Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor,Subsector
TheCollegeFever,Brand Marketing,Seed,3250.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,,,," Event Promotion, Marketing, Sponsorship, Ticketing"
Happy Cow Dairy,AgriTech,Seed,520000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,,,, Farming
MyLoanCare,Credit,Series A,845000.0,Gurugram,Leading Online Loans Marketplace in India,2018,,,," Financial Services, Lending, Marketplace"
PayMe India,FinTech,Angel,26000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,,,, FinTech
Hasura,Cloud Infrastructure,Seed,20800.0,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,,,," PaaS, SaaS"
Tripshelf,Tech,Seed,208000.0,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,2018,,,," Leisure, Marketplace"
Hyperdata.IO,Market Research,Angel,650000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,,,,
Pitstop,Automotive,Seed,1300000.0,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,,,," Search Engine, Service Industry"
Mihuru,FinTech,Seed,1950.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,,,," Internet, Travel"
Fyle,Accounting,Seed,14300.0,Bangalore,Fyle is an intelligent expense management platform for enterprises.,2018,,,," Business Information Systems, Business Travel, Finance, SaaS"
Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,6500.0,Chennai,Waste Management for Smart Cities,2018,,,, Waste Management
Cogoport,Air Transportation,Series A,78000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,,,," Freight Service, Logistics, Marine Transportation"
PaisaDukan,FinTech,Seed,8450.0,Mumbai,A P2P lending marketplace platform,2018,,,,
Sleepy Owl Coffee,Food and Beverages,Seed,455000.0,Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,,,,
BlueJack,Autonomous Vehicles,Seed,832000.0,Delhi,Delhi-based online used vehicles marketplace.,2018,,,,
Pando,Logistics,Seed,26000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,,,, Supply Chain Management
Mintifi,FinTech,Seed,26000.0,Mumbai,Online lending startup based in Mumbai.,2018,,,, Lending
Carcrew,Automotive,Seed,26000.0,Mumbai,India's Online Auto Repair Marketplace,2018,,,," Marketplace, Online Portals"
Chariot Tech,Internet of Things,Seed,260000.0,Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,,,, Telecommunications
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,13000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,,,,
Mojro Technologies,InfoTech & Services,Seed,8450.0,Bangalore,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,,,," Logistics, Supply Chain Management"
Elemential,Blockchain,Seed,13000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,,,," Developer Tools, Enterprise Software"
Loadshare,AI,Series A,65000.0,Bangalore,LoadShare is India’s fastest growing logistics company,2018,,,," Logistics, Supply Chain Management"
Yumlane,Food and Beverages,Series A,52000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,,,," Food Delivery, Snack Food"
Kriger Campus,EdTech,Seed,390000.0,Delhi,A Education Start Up.,2018,,,,
Pipa+Bella,E-Commerce,Series A,13000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,,,," Fashion, Jewelry, Retail"
Kaleidofin,FinTech,Seed,36400.0,Chennai,A fintech platform.,2018,,,,
IndigoLearn,E-Learning,Seed,1950.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,,,, Education
UClean,Clean Energy,Seed,520000.0,"India, Asia",UClean is a tech enabled laundry service provider.,2018,,,," CleanTech, Laundry and Dry-cleaning"
Coutloot,E-Commerce,Seed,13000.0,Mumbai,The Fashion Re-commerce platform.,2018,,,," Fashion, Mobile"
Letstrack,Tech,Seed,22100.0,Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,,,," Messaging, Navigation, Public Safety"
Finzy,FinTech,Seed,16900.0,Bangalore,finzy is the premier peer to peer lending solution in India.,2018,,,, Lending
Fitternity,Fitness,Seed,26000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,,,," Health Care, Wellness"
Tolet for Students,Hospitality,Seed,65000.0,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,,,,
Chai Kings,Food and Beverages,Seed,260000.0,Chennai,Chai Kings is a tea retail chain,2018,,,, Tea
Dainik Jagran,Media and Entertainment,Seed,520000.0,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.,2018,,,," News, Outdoors"
Playtoome,Broadcasting,Seed,260000.0,Bangalore,Playtoome is a live entertainment destination,2018,,,," Media and Entertainment, Music, Music Streaming, Video, Video Streaming"
ONGO Framework,B2B,Angel,13000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,,,," Information Services, Information Technology"
Notesgen,EdTech,Seed,162500.0,Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,,,," Education, Enterprise Software, Peer to Peer"
Arogya MedTech,HealthTech,Seed,195000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,,,, Medical
Propshop24,E-Commerce,Seed,6500.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,,,,
myUpchar,HealthTech,Series A,65000.0,Delhi,To bring health issues to people in their language.,2018,,,," Hospital, Wellness"
MissMalini Entertainment,Undisclosed,Seed,1352000.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,,,,
Rooter,Sports,Seed,585000.0,"India, Asia",Rooter is a mobile-based platform,2018,,,,
ZestMoney,Big Data,Series A,174200.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018,,,," Consumer Lending, FinTech"
MyDentistChoice,HealthTech,Seed,6500.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,,,," Medical, Pharmaceutical"
Sensibull,Trading Platform,Seed,325000.0,Bangalore,Investment Management Platform,2018,,,,
MedCords,Wellness,Seed,343200.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,,,,
Enakshi,Fashion,Seed,104000.0,Ahmedabad,Enakshi is an online apparel brand for women.,2018,,,,
Ultraviolette Automotive,Automotive,Series A,780.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,,,," Electric Vehicle, Energy Storage"
Inthree Access,Consulting,Series A,52000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,,,," Retail, Social"
BUGWORKS Research India,Biotechnology,Series A,117000.0,Bangalore,BUGWORKS is a drug discovery company.,2018,,,," Life Science, Pharmaceutical, Product Research"
PrestLoans,Credit,Seed,1300.0,Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,,,," Financial Services, FinTech, Personal Finance"
Wimoxez,Tech,Seed,260.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,,,,
HappyEMI,Consumer,Seed,13000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,,,," Financial Services, FinTech"
Hansel.io,Mobile,Series A,52000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,,,," Mobile Apps, Personalization, Test and Measurement, Web Apps"
Propelld,EdTech,Seed,3250.0,Bangalore,Propelld is a student education financing platform.,2018,,,," Financial Services, FinTech"
ZiffyHomes,Marketplace,Seed,1560.0,Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,,,," Real Estate, Rental Property"
Carmesi,HealthTech,Seed,442000.0,Gurugram,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,,,,
Racetrack,AI,Seed,4446000.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,,,," Cloud Computing, Video"
WHR,HealthTech,Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,,,, Information Technology
FabAlley,E-Commerce,Series B,7800000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,,,," Fashion, Lifestyle"
SBI Life,Insurance,Private Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,,,,
Studds Accessories,E-Commerce,Private Equity,13000000.0,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,2018,,,,
Design Cafe,Home Decor,Series B,26000000.0,Bangalore,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,,,," Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home"
NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,3980000.0,Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,,,," Education, Information Services, SaaS"
Rays Power Infra,Energy,Venture - Series Unknown,26000000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,,,, Solar
AuthMetrik,B2B,Grant,10000.0,Gurugram,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,,,," Biometrics, Cyber Security, Fraud Detection, SaaS, Security"
LetsTransport,Logistics,Series B,13000000.0,Bangalore,Lets transport is a logistics solution provider.,2018,,,," Transportation, Travel"
Next Digital Solutions,Digital Marketing,Angel,1300.0,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,2018,,,," SEM, SEO, Web Development"
Portea Medical,HealthTech,Debt Financing,3250000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,,,," Hospital, Medical"
Aavas Financiers,FinTech,Post-IPO Debt,26000000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,,,, Financial Services
Swiggy,Food Delivery,Series H,1000000000.0,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,,,," Food Processing, Internet"
Milkbasket,E-Commerce,Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,,,," Food and Beverage, Internet"
Toppr,EdTech,Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,,,," Education, Knowledge Management"
Jagaran Microfin,Undisclosed,Debt Financing,7150000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,,,,
Vivriti Capital,FinTech,Venture - Series Unknown,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,,,,
Be U Salons,Tech,Seed,390000.0,Delhi,Be U is India's first subscription based Salon Chain.,2018,,,," Beauty, Consumer, Retail"
Impact Guru,Creative Agency,Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,,,," Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health"
MobiKwik,Consumer Lending,Series E,3120000.0,Gurugram,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,,,," Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management"
DataTrained,EdTech,Seed,1560000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,,,, Education
OneAssist,FinTech,Debt Financing,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,2018,,,," SaaS, Security"
Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,30000000.0,Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,,,," Finance, Financial Services, Non Profit"
APAC Financial Services,FinTech,Private Equity,32500000.0,Mumbai,APAC Financial Services is a financial services platform.,2018,,,, Financial Services
Moglix,B2B,Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,,,," E-Commerce, Mobile"
MadGuy Labs,E-Learning,Venture - Series Unknown,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,,,,
Shop101,Tech,Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,,,," E-Commerce, Internet"
FeedMyPockets,Advertising,Seed,572000.0,Bangalore,On Demand Staffing Platform,2018,,,," Human Resources, Marketing"
Housejoy,Beauty,Series B,3240000.0,Bangalore,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,,,," Fitness, Home Services, Internet"
FoodBuddy,Food Delivery,Seed,780000.0,"Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,,,," Online Portals, Restaurants"
Ninjacart,AgTech,Series B,32500000.0,Bangalore,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,,,," B2B, Supply Chain Management"
BYJU’S,EdTech,Private Equity,540000000.0,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,,,," Education, Higher Education, Secondary Education"
Wakefit,Manufacturing,Venture - Series Unknown,8450000.0,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,,,, Retail
Hero Electric,Manufacturing,Venture - Series Unknown,20800000.0,Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,,,,
PerkFinance,Consumer Lending,Seed,900000.0,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,,,, FinTech
Roposo,Tech,Series C,10000000.0,Gurugram,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,,,," Social Network, TV"
Wow Venue,Events,Venture - Series Unknown,1500000.0,Mumbai,Wow Venue is an online platform.,2018,,,,
OTO Capital,Automotive,Seed,650000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,,,,
Boodmo,Automotive,Seed,910000.0,Gurugram,boodmo.com - large online marketplace for auto parts in India.,2018,,,, Retail
MyNewCar.in,Automotive,Venture - Series Unknown,1000000.0,Gurugram,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,,,, E-Commerce
HalaPlay Technologies,Digital Entertainment,Series A,5000000.0,Bangalore,A daily fantasy sports platform.,2018,,,," Fantasy Sports, Sports"
PlanetSpark,E-Learning,Seed,208000.0,Gurugram,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,,,," EdTech, Education"
WheelsEMI,Undisclosed,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,,,,
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,1332500.0,"Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,,,," Incubators, Non Profit"
OYO,Hospitality,Series E,100000000.0,Gurugram,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,,,," Hotel, Leisure, Travel"
Quikr,Classifieds,Debt Financing,7150000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,,,," Internet, Marketplace, Rental Property"
LearnApp,Banking,Seed,260000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,,,," E-Learning, Trading Platform"
Shopkirana,E-Commerce,Venture - Series Unknown,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,,,," Mobile, Retail"
Articbot,AI,Grant,15600.0,"Kannur, Kerala, India",Articbot is a conversational AI platform for automated customer support and lead generation,2018,,,, Information Technology
BuildSupply,Enterprise Resource Planning (ERP),Series A,3250000.0,Gurugram,India’s most advanced ERP system for the real estate,2018,,,," Information Services, Information Technology, Real Estate"
Fusion Microfinance,Banking,Series E,67600000.0,Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,,,," Finance, Financial Services"
Guiddoo World,Audio,Seed,800000.0,Mumbai,We build In-Destination Experiences!,2018,,,," Mobile, Tourism, Travel"
ION Energy,Energy,Venture - Series Unknown,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,,,," Energy Storage, Infrastructure"
UnoTag,AI,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,2018,,,,
CivilCops,Government,Pre-Seed,100000.0,Gurugram,Gov-Tech,2018,,,," Information Technology, Software"
Classworks India,EdTech,Undisclosed,1300.0,Chennai,"Saas, Web App, Mobile App, School Education",2018,,,," Information Technology, Internet, Mobile, Software"
artbandhu,Media,Pre-Seed,15000.0,Bangalore,Ai platform for Art and Creative Community,2018,,,," Internet, Media and Entertainment, Online Portals, Social Media"
Survaider,Business Intelligence,Seed,6500.0,Bangalore,Stethoscope for customer feedback !,2018,,,," Customer Service, Market Research, SaaS"
Credy,Credit,Seed,18200.0,Bangalore,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,,,," Financial Services, FinTech, Lending"
iChamp,E-Learning,Seed,65000.0,Gurugram,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,,,,
Qandle,Tech,Seed,15600.0,Gurugram,A cloud-based HR management and employee engagement platform.,2018,,,,
Avishkaar Box,Children,Seed,650000.0,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,,,," Education, Parenting"
